Component,File,Input,Classification,Type,Line,Maps to DB,Snippet
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,message_id,Volatile,GraphQL/RPC Argument,592,No,"Number(args.message_id),"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,text,Volatile,GraphQL/RPC Argument,593,No,"args.text as string,"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,message_id,Volatile,GraphQL/RPC Argument,596,No,const id = typeof edited === 'object' ? edited.message_id : args.message_id
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,name,Persistent,Route Parameter,601,Yes,"content: [{ type: 'text', text: `unknown tool: ${req.params.name}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,name,Persistent,Route Parameter,608,Yes,"content: [{ type: 'text', text: `${req.params.name} failed: ${msg}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,token,Sensitive,Auth Token,617,No,"// the bot keeps polling forever as a zombie, holding the token and blocking"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,618,No,// the next session with 409 Conflict.
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,647,No,`This bot bridges Telegram to a Claude Code session.\n\n` +
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,651,No,"`After that, DMs here reach that session.`"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,658,No,`Messages you send here route to a paired Claude Code session. ` +
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,957,No,"// previous session, or a second Claude Code instance). Retry with backoff"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,981,No,"? ' — another instance is polling (zombie session, or a second Claude Code running?)'"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/posttooluse.py,CLAUDE_PLUGIN_ROOT,Config,Env Variable (Python),13,No,PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/pretooluse.py,CLAUDE_PLUGIN_ROOT,Config,Env Variable (Python),13,No,PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/stop.py,CLAUDE_PLUGIN_ROOT,Config,Env Variable (Python),13,No,PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/userpromptsubmit.py,CLAUDE_PLUGIN_ROOT,Config,Env Variable (Python),13,No,PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,28,No,# State file to track warnings shown (session-scoped using session ID)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,129,No,def get_state_file(session_id):
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,130,No,"""""""Get session-specific state file path."""""""
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,131,No,"return os.path.expanduser(f""~/.claude/security_warnings_state_{session_id}.json"")"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,159,No,def load_state(session_id):
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,161,No,state_file = get_state_file(session_id)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,171,No,"def save_state(session_id, shown_warnings):"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,173,No,state_file = get_state_file(session_id)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,238,No,# Extract session ID and tool information from the hook input
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,239,No,"session_id = input_data.get(""session_id"", ""default"")"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,262,No,# Load existing warnings for this session
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,263,No,shown_warnings = load_state(session_id)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,265,No,# Check if we've already shown this warning in this session
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,269,No,"save_state(session_id, shown_warnings)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,145,No,"result[""tokens""] = timing_data.get(""total_tokens"", 0)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,152,No,"if not result.get(""tokens""):"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,153,No,"result[""tokens""] = metrics.get(""output_chars"", 0)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,192,No,"""tokens"": {""mean"": 0, ""stddev"": 0, ""min"": 0, ""max"": 0}"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,198,No,"tokens = [r.get(""tokens"", 0) for r in runs]"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,203,No,"""tokens"": calculate_stats(tokens)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,216,No,"delta_tokens = primary.get(""tokens"", {}).get(""mean"", 0) - baseline.get(""tokens"", {}).get(""mean"", 0)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,221,No,"""tokens"": f""{delta_tokens:+.0f}"""
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,248,No,"""tokens"": result.get(""tokens"", 0),"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,320,No,# Format tokens
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,321,No,"a_tokens = a_summary.get(""tokens"", {})"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,322,No,"b_tokens = b_summary.get(""tokens"", {})"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/aggregate_benchmark.py,token,Sensitive,Auth Token,323,No,"lines.append(f""| Tokens | {a_tokens.get('mean', 0):.0f} ± {a_tokens.get('stddev', 0):.0f} | {b_tokens.get('mean', 0):.0f"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/improve_description.py,token,Sensitive,Auth Token,116,No,"max_tokens=16000,"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/improve_description.py,token,Sensitive,Auth Token,119,No,"""budget_tokens"": 10000,"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/improve_description.py,token,Sensitive,Auth Token,153,No,"max_tokens=16000,"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/improve_description.py,token,Sensitive,Auth Token,156,No,"""budget_tokens"": 10000,"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/run_eval.py,session,Sensitive,Auth Token,81,No,# Claude Code session. The guard is for interactive terminal conflicts;
.claude,.claude/scripts/security/scan_config.py,token,Sensitive,Auth Token,2,No,"""""""Secrets & Exposure Scanner — finds env vars, tokens, credentials and rates exposure risk."""""""
.claude,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,12,No,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Stor"
.claude,.claude/scripts/security/scan_config.py,token,Sensitive,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,Authorization,Sensitive,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,x-api-key,Sensitive,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,stripe-signature,Volatile,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,jwt,Sensitive,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,bearer,Volatile,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,17,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|session)', ""type"": ""Auth To"
.claude,.claude/scripts/security/scan_config.py,token,Sensitive,Auth Token,21,No,"SENSITIVE_KEYS = ['key','secret','token','password','auth','credential','signature','dsn','jwt','session','private']"
.claude,.claude/scripts/security/scan_config.py,jwt,Sensitive,Auth Token,21,No,"SENSITIVE_KEYS = ['key','secret','token','password','auth','credential','signature','dsn','jwt','session','private']"
.claude,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,21,No,"SENSITIVE_KEYS = ['key','secret','token','password','auth','credential','signature','dsn','jwt','session','private']"
.claude,.claude/scripts/security/scan_inputs.py,session,Sensitive,Auth Token,20,No,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Stor"
.claude,.claude/scripts/security/scan_inputs.py,token,Sensitive,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,Authorization,Sensitive,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,x-api-key,Sensitive,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,stripe-signature,Volatile,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,jwt,Sensitive,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,bearer,Volatile,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
.claude,.claude/scripts/security/scan_inputs.py,session,Sensitive,Auth Token,26,No,"""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|token|session)', ""type"": ""A"
